,title,director,rating,airdate,season_number,episode_number,storyline,genres,cast,character
0,Winter Is Coming,['Timothy Van Patten'],9.0,Episode aired 17 April 2011,Season 1,Episode 1,"At the castle Winterfell, Lord Ned Stark begins to believe that something is amiss. A deserter from the Night Watch, the guardians of the giant ice wall at the northern boundary of their territory, says he's seen the white walkers. Later, Ned and his sons find animals slain in the woods, including a she-wolf whose six pups they keep, one for each of Ned's children. They also welcome the arrival of Ned's good friend King Robert who was once betrothed to Ned's sister. She was killed before they could marry and he wed Cersei Lannister who has given him a son, Joffrey. Along with them are Cersei's two brothers, the handsome Jaime and Tyrion, a dwarf with very large appetites. The King wants Ned to return with him to his capital, King's Landing, and become the King's Hand. Ned accepts but his young son Bran accidentally sees something he should not have and suffers a serious fall as a result. Meanwhile, in the land across the narrow sea, Viserys Targaryen needs an army to attack King's ...","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Sean Bean', 'Mark Addy', 'Nikolaj Coster-Waldau', 'Michelle Fairley', 'Lena Headey', 'Emilia Clarke', 'Iain Glen', 'Harry Lloyd', 'Kit Harington', 'Sophie Turner', 'Maisie Williams', 'Richard Madden', 'Alfie Allen', 'Isaac Hempstead Wright', 'Jack Gleeson']","[""Eddard 'Ned' Stark"", 'Robert Baratheon', 'Jaime Lannister', 'Catelyn Stark', 'Cersei Lannister', 'Daenerys Targaryen', 'Jorah Mormont', 'Viserys Targaryen', 'Jon Snow', 'Sansa Stark', 'Arya Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Joffrey Baratheon']"
1,The Kingsroad,['Timothy Van Patten'],8.8,Episode aired 24 April 2011,Season 1,Episode 2,"Although his son Bran is lying in bed unconscious from his fall, Ned Stark must return with King Robert to King's Landing. His wife Catelyn stays behind in Winterfell, though there appears to be little hope of Bran's recovery. The King has agreed that his son Joffrey and Ned's daughter Sansa should marry, uniting their families forever. Problems arise when Joffrey challenges the butcher's boy who is out playing with Sansa's younger sister Arya. Joffrey is injured when Arya's pet wolf attacks him. The King's justice is swift but fair even if his wife Cersei doesn't agree. Meanwhile, Ned illegitimate son heads north to join the Night Watch. Across the Narrow Sea, Daenerys is having some difficulty accommodating herself to married life. She turns to one of her servants, a slave whose job it once was to pleasure men, to learn how she could make her husband happy.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Sean Bean', 'Mark Addy', 'Nikolaj Coster-Waldau', 'Michelle Fairley', 'Lena Headey', 'Emilia Clarke', 'Iain Glen', 'Harry Lloyd', 'Kit Harington', 'Sophie Turner', 'Maisie Williams', 'Richard Madden', 'Alfie Allen', 'Isaac Hempstead Wright', 'Jack Gleeson']","[""Eddard 'Ned' Stark"", 'Robert Baratheon', 'Jaime Lannister', 'Catelyn Stark', 'Cersei Lannister', 'Daenerys Targaryen', 'Jorah Mormont', 'Viserys Targaryen', 'Jon Snow', 'Sansa Stark', 'Arya Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Joffrey Baratheon']"
2,Lord Snow,['Brian Kirk'],8.7,Episode aired 1 May 2011,Season 1,Episode 3,"After the attempted assassination of young Bran, Catelyn leaves for King's Landing to see her husband, convinced that the Lannisters were behind the attempt. On arrival, she is met by a former beau, Petyr Baelish, who tells her that the knife used in the attack on Bran was his - until he lost it in a wager to Tyrion Lannister a year ago. When presented with the evidence, Ned isn't convinced. He's kept busy as the King's Hand and is shocked at King Robert's spendthrift ways. Cersei tells her son Joffrey that when he is King, he can do anything he wants. Across the Narrow Sea, Daenerys begins to act like a queen and has a confrontation with her brother who makes it clear that he is in charge. She also realizes she is pregnant. At the wall, Ned's illegitimate son Jon Snow undergoes training to become a member of the Night's Watch.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Sean Bean', 'Mark Addy', 'Nikolaj Coster-Waldau', 'Michelle Fairley', 'Lena Headey', 'Emilia Clarke', 'Iain Glen', 'Aidan Gillen', 'Harry Lloyd', 'Kit Harington', 'Sophie Turner', 'Maisie Williams', 'Isaac Hempstead Wright', 'Richard Madden', 'Jack Gleeson']","[""Eddard 'Ned' Stark"", 'Robert Baratheon', 'Jaime Lannister', 'Catelyn Stark', 'Cersei Lannister', 'Daenerys Targaryen', 'Jorah Mormont', ""Petyr 'Littlefinger' Baelish"", 'Viserys Targaryen', 'Jon Snow', 'Sansa Stark', 'Arya Stark', 'Bran Stark', 'Robb Stark', 'Joffrey Baratheon']"
3,"Cripples, Bastards, and Broken Things",['Brian Kirk'],8.8,Episode aired 8 May 2011,Season 1,Episode 4,"Ned begins to look into the death of his predecessor and mentor John Arryn. He learns that Arryn was interested in a particular book and also visited a local blacksmith known for making quality arms. There he meets someone quite interesting. At the northern wall, Jon befriends Samwell Tarly an overweight, bumbling young man whose father gave him the choice of joining the Night's Watch or dying in a hunting 'accident'. Sam is the object of scorn from other trainees and their instructor. Jon makes it clear that no harm will come him. Sansa is still not speaking to her father after he was forced to kill her wolf. She is preparing to become Queen someday. Her sister Arya meanwhile is taking sword fighting lessons and sees herself as a knight. Across the Narrow Sea, Daenerys defends herself when her brother Vyseris slaps her making it very clear that she too can exercise some authority.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Sean Bean', 'Mark Addy', 'Nikolaj Coster-Waldau', 'Michelle Fairley', 'Lena Headey', 'Emilia Clarke', 'Iain Glen', 'Aidan Gillen', 'Harry Lloyd', 'Kit Harington', 'Sophie Turner', 'Maisie Williams', 'Richard Madden', 'Alfie Allen', 'Isaac Hempstead Wright']","[""Eddard 'Ned' Stark"", 'Robert Baratheon', 'Jaime Lannister', 'Catelyn Stark', 'Cersei Lannister', 'Daenerys Targaryen', 'Jorah Mormont', ""Petyr 'Littlefinger' Baelish"", 'Viserys Targaryen', 'Jon Snow', 'Sansa Stark', 'Arya Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark']"
4,The Wolf and the Lion,['Brian Kirk'],9.1,Episode aired 15 May 2011,Season 1,Episode 5,"When King Robert learns that Daenerys and the Dothrakis are preparing for war, he decides to attack first. Ned is against the idea saying they should go slowly and learn more but the King calls him a weakling and dismisses him as the King's Hand. Playing in the dungeons, Arya overhears two men plotting against her father. She tells him what she heard and he decides the time has come for him to return to Winterfell. He delays his departure when given the opportunity to speak to the last person his predecessor spoke to, a whore who gave Robert another illegitimate son. The delay is costly however and leads to a serious injury. Catelyn meanwhile takes Tyrion to her sister Lysa, who also happens to be the John Arryn's widow.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Sean Bean', 'Mark Addy', 'Nikolaj Coster-Waldau', 'Michelle Fairley', 'Lena Headey', 'Aidan Gillen', 'Sophie Turner', 'Maisie Williams', 'Alfie Allen', 'Isaac Hempstead Wright', 'Jack Gleeson', 'Rory McCann', 'Peter Dinklage', 'Donald Sumpter', 'Conleth Hill']","[""Eddard 'Ned' Stark"", 'Robert Baratheon', 'Jaime Lannister', 'Catelyn Stark', 'Cersei Lannister', ""Petyr 'Littlefinger' Baelish"", 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Bran Stark', 'Joffrey Baratheon', ""Sandor 'The Hound' Clegane"", 'Tyrion Lannister', 'Maester Luwin', 'Lord Varys']"
5,A Golden Crown,['Daniel Minahan'],9.2,Episode aired 22 May 2011,Season 1,Episode 6,"A calmer King Robert mends fences with Ned Stark and reinstates him as the King's Hand despite the objections of his wife Cersei. While he goes hunting with his brother Renly he puts Ned on the throne. A group of farmers complain of having been attacked by a Knight and his army and knowing the culprit orders him stripped of all titles and lands. Ned decides to send Arya and Sansa back to Winterfell for their protection. Sansa in particular doesn't want to leave saying she wants to marry Joffre and have blond babies. Her offhand remark leads Ned back to the book his predecessor was so interested in and he now understands why John Arryn was visiting King Robert's bastard children. Meanwhile, Daenerys and her brother Viserys have yet another confrontation but this one is settled by Drogo himself. An imprisoned Tyrion Lannister demands to be tried and asks for trial by combat.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Sean Bean', 'Mark Addy', 'Michelle Fairley', 'Lena Headey', 'Emilia Clarke', 'Iain Glen', 'Aidan Gillen', 'Harry Lloyd', 'Richard Madden', 'Sophie Turner', 'Maisie Williams', 'Alfie Allen', 'Isaac Hempstead Wright', 'Jack Gleeson', 'Peter Dinklage']","[""Eddard 'Ned' Stark"", 'Robert Baratheon', 'Catelyn Stark', 'Cersei Lannister', 'Daenerys Targaryen', 'Jorah Mormont', ""Petyr 'Littlefinger' Baelish"", 'Viserys Targaryen', 'Robb Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Bran Stark', 'Joffrey Baratheon', 'Tyrion Lannister']"
6,You Win or You Die,['Daniel Minahan'],9.2,Episode aired 29 May 2011,Season 1,Episode 7,"Ned confronts Cersei about her children but she dismisses his allegations. The head of the Lannister clan tells his son Jaime to be a leader and sends him to rescue Tyrion. Ros, the prostitute from Winterfell begins working for Littlefinger in King's Landing. At the wall, a riderless horse belonging to Jon Snow's uncle Benjen returns to the wall. Jon takes his vows as a Night's Watchman but is disappointed to not having been named a Ranger but Sam sees it differently. King Robert is injured while out boar hunting with his brother. He knows he will not survive and names Ned Lord Regent until Joffrey comes of age. Knowing that Joffrey is not Robert's son, he feels Robert's brother should succeed him but Littlefinger counsel's otherwise. A wine vendor tries to poison Daenerys and Drogo promises to put their son on the throne of the Seven Kingdoms.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Sean Bean', 'Mark Addy', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Emilia Clarke', 'Iain Glen', 'Aidan Gillen', 'Kit Harington', 'Alfie Allen', 'Jack Gleeson', 'Rory McCann', 'Donald Sumpter', 'Conleth Hill', 'James Cosmo', 'Owen Teale']","[""Eddard 'Ned' Stark"", 'Robert Baratheon', 'Jaime Lannister', 'Cersei Lannister', 'Daenerys Targaryen', 'Jorah Mormont', ""Petyr 'Littlefinger' Baelish"", 'Jon Snow', 'Theon Greyjoy', 'Joffrey Baratheon', ""Sandor 'The Hound' Clegane"", 'Maester Luwin', 'Lord Varys', 'Jeor Mormont', 'Alliser Thorne']"
7,The Pointy End,['Daniel Minahan'],9.0,Episode aired 5 June 2011,Season 1,Episode 8,"Joffrey has claimed the throne and he and is mother eliminate Ned Stark's supporters. Ned is imprisoned and Sansa remains engaged to Joffrey but Arya seems to have escaped. Cersei gets Sansa to write to her eldest brother Robb to ask him to swear loyalty to the new King. Robb agrees to go, but at the head of an army. Catelyn receives word of her husband's imprisonment and learns that her sister will not support her. Tyrion and Bronn encounter the Stone Crows and makes them an offer they can't refuse. At the wall Jon's wolf, Ghost, alerts him to trouble and it seems that the White Walkers have returned. Daenarys has trouble accepting the rape of new female slaves and when Drogo supports her, he is called out by one his men.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Sean Bean', 'Michelle Fairley', 'Lena Headey', 'Emilia Clarke', 'Iain Glen', 'Aidan Gillen', 'Kit Harington', 'Richard Madden', 'Sophie Turner', 'Maisie Williams', 'Alfie Allen', 'Isaac Hempstead Wright', 'Jack Gleeson', 'Rory McCann', 'Peter Dinklage']","[""Eddard 'Ned' Stark"", 'Catelyn Stark', 'Cersei Lannister', 'Daenerys Targaryen', 'Jorah Mormont', ""Petyr 'Littlefinger' Baelish"", 'Jon Snow', 'Robb Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Bran Stark', 'Joffrey Baratheon', ""Sandor 'The Hound' Clegane"", 'Tyrion Lannister']"
8,Baelor,['Alan Taylor'],9.6,Episode aired 12 June 2011,Season 1,Episode 9,"Sansa begs King Joffrey to spare her father's life. With his mother's support he agrees to spare him provided Ned publicly confesses that he is a traitor and recognizes him as the rightful king. Ned refuses at first but soon recognizes that the lives of his children are at stake and eventually agrees. Arya has eluded capture living in the town and scrounging for food. She goes to the square when she hears her father is to appear. What happens is something no child should have to witness. Tyrion arrives at his father's camp but the elder Lannister is dismissive of his diminutive son. He also tells him that he will be in the vanguard of the attack to take place the next day against Robb Stark's forces arriving from the north. For his part, Robb is proving to be an able field general and takes a Lannister prisoner. Daenerys finds she has little influence after Drogo falls ill and is unable to ride.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Sean Bean', 'Michelle Fairley', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Emilia Clarke', 'Iain Glen', 'Aidan Gillen', 'Kit Harington', 'Richard Madden', 'Sophie Turner', 'Maisie Williams', 'Alfie Allen', 'Jack Gleeson', 'Rory McCann', 'Peter Dinklage']","[""Eddard 'Ned' Stark"", 'Catelyn Stark', 'Jaime Lannister', 'Cersei Lannister', 'Daenerys Targaryen', 'Jorah Mormont', ""Petyr 'Littlefinger' Baelish"", 'Jon Snow', 'Robb Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Joffrey Baratheon', ""Sandor 'The Hound' Clegane"", 'Tyrion Lannister']"
9,Fire and Blood,['Alan Taylor'],9.5,Episode aired 19 June 2011,Season 1,Episode 10,"Robb's banner-men declare him to be King of the North. At Castle Black, Jon decides to desert the brotherhood and join Robb's army. Sam and his other friends have something else in mind. Having been rescued by a Night's Watchman, Arya begins her travels north to the wall. Impressed by Tyrion's good advice, Tywin sends him to King's Landing to act as the King's Hand while he is occupied with the war. Daenerys learns that she has lost the baby and realizes the error she made in trying to keep Drogo alive. At his funeral, she boldly walks into his funeral pyre and the outcome is a surprise to everyone but her.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Sean Bean', 'Michelle Fairley', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Emilia Clarke', 'Iain Glen', 'Aidan Gillen', 'Kit Harington', 'Richard Madden', 'Sophie Turner', 'Maisie Williams', 'Alfie Allen', 'Isaac Hempstead Wright', 'Jack Gleeson', 'Rory McCann']","[""Eddard 'Ned' Stark"", 'Catelyn Stark', 'Jaime Lannister', 'Cersei Lannister', 'Daenerys Targaryen', 'Jorah Mormont', ""Petyr 'Littlefinger' Baelish"", 'Jon Snow', 'Robb Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Bran Stark', 'Joffrey Baratheon', ""Sandor 'The Hound' Clegane""]"
10,The North Remembers,['Alan Taylor'],8.8,Episode aired 1 April 2012,Season 2,Episode 1,"Winter is coming as the Night Watch go to meet the threat north of the Wall, the standoff between the Stark and the Lannisters boils with new rumors of King Joffrey's birthright and the rise of the Baratheon brothers in the warfare. All the while Dany leads her band of broken things through the dead lands barely hanging on. Trust...Joffrey will do whatever it takes to keep his crown.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Lena Headey', 'Nikolaj Coster-Waldau', 'Michelle Fairley', 'Emilia Clarke', 'Aidan Gillen', 'Iain Glen', 'Kit Harington', 'Liam Cunningham', 'Isaac Hempstead Wright', 'Richard Madden', 'Sophie Turner', 'Maisie Williams', 'Alfie Allen', 'John Bradley']","['Tyrion Lannister', 'Cersei Lannister', 'Jaime Lannister', 'Catelyn Stark', 'Daenerys Targaryen', ""Petyr 'Littlefinger' Baelish"", 'Jorah Mormont', 'Jon Snow', 'Davos Seaworth', 'Bran Stark', 'Robb Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Samwell Tarly']"
11,The Night Lands,['Alan Taylor'],8.5,Episode aired 8 April 2012,Season 2,Episode 2,"In the wake of a bloody purge in the capital, Tyrion chastens Cersei for alienating the king's subjects. On the road north, Arya shares a secret with Gendry, a Night's Watch recruit. With supplies dwindling, one of Dany's scouts returns with news of their position. After nine years as a Stark ward, Theon Greyjoy reunites with his father Balon, who wants to restore the ancient Kingdom of the Iron Islands. Davos enlists Salladhor Saan, a pirate, to join forces with Stannis and Melisandre for a naval invasion of King's Landing.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Lena Headey', 'Emilia Clarke', 'Aidan Gillen', 'Iain Glen', 'Kit Harington', 'Liam Cunningham', 'Alfie Allen', 'Maisie Williams', 'Stephen Dillane', 'Carice van Houten', 'Jerome Flynn', 'Conleth Hill', 'John Bradley', 'Sibel Kekilli']","['Tyrion Lannister', 'Cersei Lannister', 'Daenerys Targaryen', ""Petyr 'Littlefinger' Baelish"", 'Jorah Mormont', 'Jon Snow', 'Davos Seaworth', 'Theon Greyjoy', 'Arya Stark', 'Stannis Baratheon', 'Melisandre', 'Bronn', 'Lord Varys', 'Samwell Tarly', 'Shae']"
12,What Is Dead May Never Die,['Alik Sakharov'],8.8,Episode aired 15 April 2012,Season 2,Episode 3,"Jon is reprimanded for interfering with Craster and Sam has a gift for one of Craster's wives. In Winterfell, Bran continues to dream but begins to believe they are visions. Lady Catelyn approaches King Renly Baratheon to form an alliance with her son Robb. In the Iron Islands, Balon decides to attack the north while the Robb Stark's armies are in the south fighting the Lannisters. Theon is given the command of a ship while his sister Yara is put in command of a fleet of 30 ships. In King's Landing, Tyrion plays the council members against one another and learns the identity of the spy among them. He also wants to protect Shae from those who might try to find his weaknesses and she soon begins work as Sansa's new hand maiden. The King's guards return and Arya and Gendry are taken prisoner.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Lena Headey', 'Michelle Fairley', 'Aidan Gillen', 'Kit Harington', 'Alfie Allen', 'Isaac Hempstead Wright', 'Sophie Turner', 'Maisie Williams', 'John Bradley', 'Natalie Dormer', 'James Cosmo', 'Jerome Flynn', 'Conleth Hill', 'Sibel Kekilli']","['Tyrion Lannister', 'Cersei Lannister', 'Catelyn Stark', ""Petyr 'Littlefinger' Baelish"", 'Jon Snow', 'Theon Greyjoy', 'Bran Stark', 'Sansa Stark', 'Arya Stark', 'Samwell Tarly', 'Margaery Tyrell', 'Jeor Mormont', 'Bronn', 'Lord Varys', 'Shae']"
13,Garden of Bones,['David Petrarca'],8.8,Episode aired 22 April 2012,Season 2,Episode 4,"Robb attacks a Lannister encampment and afterward meets Lady Talisa Maegyr who treats the wounded in the battlefield. Tyrion puts a stop to King Joffre's mistreatment of Sansa and also blackmails his cousin Lancel, Cersei's lover, into being his spy. Petyr Baelish visits King Renly but Catelyn is not pleased with his presence. He offers to help protect her daughters but a trade for Jaime is the only solution. Catelyn however tries to get Stannis and Renly to bury the hatchet and unite their forces. Davos Seaworth delivers Stannis' witch, Melisandre, to a remote cave where she gives birth. In the desert, one of Daenarys' riders returns with news that the elders of Qarth will receive them. Arya arrives at Harrenhal where one person is killed every day. Lord Tywin arrives unexpectedly and she is soon his cup bearer.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Michelle Fairley', 'Emilia Clarke', 'Aidan Gillen', 'Iain Glen', 'Charles Dance', 'Liam Cunningham', 'Jack Gleeson', 'Richard Madden', 'Sophie Turner', 'Maisie Williams', 'Stephen Dillane', 'Carice van Houten', 'Natalie Dormer', 'Jerome Flynn']","['Tyrion Lannister', 'Catelyn Stark', 'Daenerys Targaryen', ""Petyr 'Littlefinger' Baelish"", 'Jorah Mormont', 'Tywin Lannister', 'Davos Seaworth', 'Joffrey Baratheon', 'Robb Stark', 'Sansa Stark', 'Arya Stark', 'Stannis Baratheon', 'Melisandre', 'Margaery Tyrell', 'Bronn']"
14,The Ghost of Harrenhal,['David Petrarca'],8.8,Episode aired 29 April 2012,Season 2,Episode 5,"Catelyn and Renly come to an agreement and he agrees to join forces with Robb but witchcraft intervenes forcing her to flee with Brienne. As Stannis' fleet approaches Renly's camp, Petyr Baelish has advice for Margaery and her brother. At King's Landing, Cersei assures Tyrion that siege preparations are well under way and he learns the specifics from Lancel. In the Iron Islands Theon sets sail though has some difficulty gaining his crew's respect. Arya makes a deal with Jaqen H'ghar who promises her three lives in return for her having saved his. North of the Wall the Watchmen arrive at their camp. In Qarth, Daxos has gifts for Daenarys and has a proposition for her: access to his untold riches - and the Iron Throne - if he marries her. In Winterfell, Osha sees something in Bran's dreams.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Lena Headey', 'Michelle Fairley', 'Emilia Clarke', 'Aidan Gillen', 'Iain Glen', 'Kit Harington', 'Charles Dance', 'Liam Cunningham', 'Alfie Allen', 'John Bradley', 'Isaac Hempstead Wright', 'Maisie Williams', 'Stephen Dillane', 'Natalie Dormer']","['Tyrion Lannister', 'Cersei Lannister', 'Catelyn Stark', 'Daenerys Targaryen', ""Petyr 'Littlefinger' Baelish"", 'Jorah Mormont', 'Jon Snow', 'Tywin Lannister', 'Davos Seaworth', 'Theon Greyjoy', 'Samwell Tarly', 'Bran Stark', 'Arya Stark', 'Stannis Baratheon', 'Margaery Tyrell']"
15,The Old Gods and the New,['David Nutter'],9.1,Episode aired 6 May 2012,Season 2,Episode 6,"In a surprise attack, Theon Greyjoy captures Winterfell demanding an oath of loyalty from everyone there in return for their lives. He is chastised however by the locals for turning on the family that raised him. The execution of a Stark family retainer shows just how serious Theon is. Robb Stark can't believe what's happened and swears to get his revenge. He is also growing fonder of Lady Talisa. At King's Landing, Tyrion knows better than most that war will devastate them and makes arrangements for Cersei's daughter, Myrcella, to be send away to marry. On returning to the palace after seeing her off, King Joffrey and others of the royal court learn exactly what the public thinks of them. North of the wall, Jon Snow and others are on patrol looking for wildlings. They kill a few but one of the survivors is an attractive young woman, Ygritte. At Harrenhall, Arya continues to work as Lord Tywin Lannister's cup bearer. She's taken aback however when a visitor from King's Landing - ...","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Lena Headey', 'Michelle Fairley', 'Emilia Clarke', 'Aidan Gillen', 'Kit Harington', 'Charles Dance', 'Isaac Hempstead Wright', 'Richard Madden', 'Sophie Turner', 'Maisie Williams', 'Alfie Allen', 'Jack Gleeson', 'Sibel Kekilli', 'Rory McCann']","['Tyrion Lannister', 'Cersei Lannister', 'Catelyn Stark', 'Daenerys Targaryen', ""Petyr 'Littlefinger' Baelish"", 'Jon Snow', 'Tywin Lannister', 'Bran Stark', 'Robb Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Joffrey Baratheon', 'Shae', ""Sandor 'The Hound' Clegane""]"
